WP Title,Result type (outcome or output),Result Short title,Result Statement,Result Type,Responsible Organization,Partners,Outcome actor type,Outcome actor type of change,Outcome: Is actor a partner?,Qualitative: minimum level of success,Qualitative: moderate level of success,Qualitative: maximum level of success,Location,Country,Region,Indicator,Type,Unit of measurement,Data source,Data collection method,Data collection frequency,Location.1,Country.1,Region.1,Baseline value,Baseline date,Target value,Target date,Source_File,Function Title,Module Title,Topic
Work Package 5 Empower and engage women and youth in agribusiness ecosystems ,OUTCOME,"5.1 Ukama Ustawi Work Packages and implementing partners interventions actively implement gender equality and social inclusion (GESI) plans and strategies

","Ukama Ustawi Work Packages and implementing partners interventions actively implement gender equality and social inclusion (GESI) plans and strategies that supports and implements empowerment of women and youth in agribusiness and diversified food systems. 

                                                                                                                                                                          
",Uptake of information product,International Water Management Institute,"International Institute of Tropical Agriculture, Alliance of Bioversity and CIAT - Regional Hub (International Center for Tropical Agriculture / Centro Internacional de Agricultura Tropical), The Rallying Cry, International Livestock Research Institute, International Food Policy Research Institute, Solidaridad Network, International Maize and Wheat Improvement Center / Centro Internacional de Mejoramiento de Maíz y Trigo, WorldFish","small and medium enterprises (SME), Farmers, Farmers’ associations","change in knowledge, change in attitude, change in skills, change in behavior/practice",No,,,,regional,,"Eastern Africa, Southern Africa",Gender-responsive outcomes achieved by 6 Ukama Ustawi Work Packages where appropriate as evidence given on the output level.,"Change in the capacity of key (a) Individuals, (b) Organizations (government, civil society and private sector), and (c) Networks (e.g. multi-stakeholder platforms).",Number ,Work package survey response,"surveys, altmetrics, interviews",Endline 2025,regional,,,0,31/12/2021,6,31/12/2024,INIT-21 - Ukama Ustawi_ Diversification for Resilient Agrifood Systems in East and Southern Africa.xlsx,,,-1
Work Package 5 Empower and engage women and youth in agribusiness ecosystems ,OUTCOME,5.2.Climate smart agriculture Innovations are adopted more sustainably and responsibly,Climate smart agriculture Innovations are adopted more sustainably and responsibly through the implementation of gender transformative methods. ,Innovation,International Water Management Institute,"International Maize and Wheat Improvement Center / Centro Internacional de Mejoramiento de Maíz y Trigo, Solidaridad Network",Farmers,"change in knowledge, change in attitude, change in skills, change in relationship, change in behavior/practice",No,,,,regional,,"Southern Africa, Eastern Africa",Number of youth farmers who adopt climate smart agriculture and participate in agribusiness as entrepreneurs ,"Change in the capacity of key (a) Individuals, (b) Organizations (government, civil society and private sector), and (c) Networks (e.g. multi-stakeholder platforms).",Number ,"Report, Survey ",Primary ,Annual ,country,,,0,31/12/2021,800,31/12/2024,INIT-21 - Ukama Ustawi_ Diversification for Resilient Agrifood Systems in East and Southern Africa.xlsx,,,-1
Work Package 5 Empower and engage women and youth in agribusiness ecosystems ,OUTCOME,5.2.Climate smart agriculture Innovations are adopted more sustainably and responsibly,Climate smart agriculture Innovations are adopted more sustainably and responsibly through the implementation of gender transformative methods. ,Innovation,International Water Management Institute,"International Maize and Wheat Improvement Center / Centro Internacional de Mejoramiento de Maíz y Trigo, Solidaridad Network",Farmers,"change in knowledge, change in attitude, change in skills, change in relationship, change in behavior/practice",No,,,,regional,,"Southern Africa, Eastern Africa",Increased agency of 80% of GALS participants within their own households and communities,"Percentage of GALS participants
",Percent,Database of participants,ex ante evaluations,Annual ,regional,,,0,31/12/2021,"40
 40","31/12/2024
 31/12/2025",INIT-21 - Ukama Ustawi_ Diversification for Resilient Agrifood Systems in East and Southern Africa.xlsx,,,29
Work Package 6 Scale agrifood innovations and coordinate One CGIAR and partner scaling activities in ESA ,OUTCOME,6.1 Adaptive capacity of East and Southern Africa improved through the establishment of a regional scaling hub ,Adaptive capacity of East and Southern Africa improved through the establishment of a regional scaling hub.,Innovation,International Livestock Research Institute,"International Food Policy Research Institute, Wageningen University and Research Centre, WorldFish, International Water Management Institute, Alliance of Bioversity International & the International Center for Tropical Agriculture (CIAT), International Institute of Tropical Agriculture, International Maize and Wheat Improvement Center / Centro Internacional de Mejoramiento de Maíz y Trigo, International Potato Center","private company, university, research institution, intergovernmental organization ","change in knowledge, change in attitude, change in relationship",Yes,Scaling Hub established within CGIAR ,Scaling Hub established within CGIAR and used also by partners,"Scaling Hub established within CGIAR, used also by partners and other stakeholders",regional,,"Eastern Africa, Southern Africa",20 scaling opportunities assessed by the scaling Hub activities,"Number of scaling case
",Number,Reports,Report review,Annual,regional,,,0,31/12/2021,"5
 15","31/12/2024
 31/12/2025",INIT-21 - Ukama Ustawi_ Diversification for Resilient Agrifood Systems in East and Southern Africa.xlsx,,,8
Work Package 6 Scale agrifood innovations and coordinate One CGIAR and partner scaling activities in ESA ,OUTCOME,6.1 Adaptive capacity of East and Southern Africa improved through the establishment of a regional scaling hub ,Adaptive capacity of East and Southern Africa improved through the establishment of a regional scaling hub.,Innovation,International Livestock Research Institute,"International Food Policy Research Institute, Wageningen University and Research Centre, WorldFish, International Water Management Institute, Alliance of Bioversity International & the International Center for Tropical Agriculture (CIAT), International Institute of Tropical Agriculture, International Maize and Wheat Improvement Center / Centro Internacional de Mejoramiento de Maíz y Trigo, International Potato Center","private company, university, research institution, intergovernmental organization ","change in knowledge, change in attitude, change in relationship",Yes,Scaling Hub established within CGIAR ,Scaling Hub established within CGIAR and used also by partners,"Scaling Hub established within CGIAR, used also by partners and other stakeholders",regional,,"Eastern Africa, Southern Africa",25M US$ of investment in scaling leveraged. ,Other quantitative measure of CGIAR innovation use (e.g. area),USD Currency,Grant agreements,Financial report review,Annual ,regional,,,0,31/12/2021,"6000000
 19000000","31/12/2024
 31/12/2025",INIT-21 - Ukama Ustawi_ Diversification for Resilient Agrifood Systems in East and Southern Africa.xlsx,,,-1
Work Package 6 Scale agrifood innovations and coordinate One CGIAR and partner scaling activities in ESA ,OUTCOME,6.2 Ukama Ustawi Work Packages implement innovation packages and scaling strategies with WP6 support ,Ukama Ustawi Work Packages implement innovation packages and scaling strategies with Work Package 6 support. ,Innovation,International Livestock Research Institute,"International Food Policy Research Institute, International Water Management Institute, WorldFish, Wageningen University and Research Centre, Department of Agricultural Research Services, International Institute of Tropical Agriculture, Alliance of Bioversity and CIAT - Regional Hub (International Center for Tropical Agriculture / Centro Internacional de Agricultura Tropical), University of California, Davis, Ministry of Lands, Agriculture, Fisheries, Water & Rural Resettlement (Zimbabwe), Ministry of Agriculture (Zambia), International Potato Center, Department of Agricultural, Technical and Extension Services (Zimbabwe), International Maize and Wheat Improvement Center / Centro Internacional de Mejoramiento de Maíz y Trigo, Zambia Agriculture Research Institute, Ministry of Agriculture, Irrigation and Water Development (Malawi)","policymaker, government body, private company, Farmers, Farmers’ associations, intergovernmental organization ","change in knowledge, change in attitude, change in skills, change in relationship, change in behavior/practice, Change in policy",Yes,Innovation packages  updated  in Work Packages 1 to 4 and scaling strategies developed in Work Package 6.,Innovation packages  updated and new packages developed  in Work Packages 1 to 4 and scaling strategies developed in Work Packages 6. ,Innovation packages  updated and new packages developed and followed up  with concrete actions in line with the package reccomendation in Work Packages 1 to 4 and scaling strategies developed in Work Package 6.,country,"Ethiopia, Zambia, Malawi, Kenya, Tanzania, United Republic, Zimbabwe",,17 Innovation Packages and Scaling Readiness (IPSR) packages updated and followed up. ,Innovation Packages and Scaling Readiness (IPSR) products ,Number,IPSR reports,Type 1 reporting,Annual ,regional,,,0,31/12/2021,"7
 10","31/12/2024
 31/12/2025",INIT-21 - Ukama Ustawi_ Diversification for Resilient Agrifood Systems in East and Southern Africa.xlsx,,,8
Work Package 6 Scale agrifood innovations and coordinate One CGIAR and partner scaling activities in ESA ,OUTCOME,6.2 Ukama Ustawi Work Packages implement innovation packages and scaling strategies with WP6 support ,Ukama Ustawi Work Packages implement innovation packages and scaling strategies with Work Package 6 support. ,Innovation,International Livestock Research Institute,"International Food Policy Research Institute, International Water Management Institute, WorldFish, Wageningen University and Research Centre, Department of Agricultural Research Services, International Institute of Tropical Agriculture, Alliance of Bioversity and CIAT - Regional Hub (International Center for Tropical Agriculture / Centro Internacional de Agricultura Tropical), University of California, Davis, Ministry of Lands, Agriculture, Fisheries, Water & Rural Resettlement (Zimbabwe), Ministry of Agriculture (Zambia), International Potato Center, Department of Agricultural, Technical and Extension Services (Zimbabwe), International Maize and Wheat Improvement Center / Centro Internacional de Mejoramiento de Maíz y Trigo, Zambia Agriculture Research Institute, Ministry of Agriculture, Irrigation and Water Development (Malawi)","policymaker, government body, private company, Farmers, Farmers’ associations, intergovernmental organization ","change in knowledge, change in attitude, change in skills, change in relationship, change in behavior/practice, Change in policy",Yes,Innovation packages  updated  in Work Packages 1 to 4 and scaling strategies developed in Work Package 6.,Innovation packages  updated and new packages developed  in Work Packages 1 to 4 and scaling strategies developed in Work Packages 6. ,Innovation packages  updated and new packages developed and followed up  with concrete actions in line with the package reccomendation in Work Packages 1 to 4 and scaling strategies developed in Work Package 6.,country,"Ethiopia, Zambia, Malawi, Kenya, Tanzania, United Republic, Zimbabwe",,18 Innovation Packages and Scaling Readiness (IPSR) products (packages/strategies) developed,Innovation Packages and Scaling Readiness (IPSR) products,Number ,IPSR reports,Type 1 reporting,Annual,regional,,,0,31/12/2021,"10
 8","31/12/2024
 31/12/2025",INIT-21 - Ukama Ustawi_ Diversification for Resilient Agrifood Systems in East and Southern Africa.xlsx,,,8
Work Package 1 Sustainable Intensification and Diversification for Nutritious and Resilient Food Production through Sustainable Seed and Management Systems,OUTCOME,1.1 Dietary diversity scores,Increased household dietary diversity scores  ,Other,International Institute of Tropical Agriculture,Africa Rice Center,,,Yes,,,,global,,,Increased HH dietary diversity scores  ,"Change in the capacity of key (a) Individuals, (b) Organizations (government, civil society and private sector), and (c) Networks (e.g. multi-stakeholder platforms).",Percent,Survey responses,survey,Annual,country,,,0,29/06/2022,"12
 30","01/01/2024
 01/01/2025",INIT-22 - Transforming AgriFood Systems in West and Central Africa.xlsx,,,-1
Work Package 1 Sustainable Intensification and Diversification for Nutritious and Resilient Food Production through Sustainable Seed and Management Systems,OUTCOME,1.2 Adoption of nutrient-dense crop varieties and good agricultural practices,Smallholder households adopt climate-resilient nutrient-dense crop varieties and good agricultural practices.,Innovation,International Institute of Tropical Agriculture,"Africa Rice Center, Alliance of Bioversity International & the International Center for Tropical Agriculture (CIAT), International Potato Center, The World Vegetable Center",,,Yes,,,,global,,,Number of Smallholder HH adopt improved climate resilient nutrient-dense crop varieties and good agricultural practices ,"Number of beneficiaries using the CGIAR innovation, disaggregated by gender.",Number,Survey responses,Survey,Annual,country,,,0,29/06/2022,"3000
 8000","01/01/2024
 01/01/2025",INIT-22 - Transforming AgriFood Systems in West and Central Africa.xlsx,,,-1
Work Package 2 Informed digital agriculture for climate resilience – Managing climate risks and accessing services,OUTCOME,2.1 Climate information and early warning systems ,"Farmers, value chain actors, and governments use improved climate information and early warning systems ",Uptake of information product,Alliance of Bioversity International & the International Center for Tropical Agriculture (CIAT),International Centre of Insect Physiology and Ecology,,,Yes,,,,global,,,Number of governments using  improved climate information and early warning systems ,"Change in the capacity of key (a) Individuals, (b) Organizations (government, civil society and private sector), and (c) Networks (e.g. multi-stakeholder platforms).",Number,,,,global,,,0,29/06/2022,3,31/12/2024,INIT-22 - Transforming AgriFood Systems in West and Central Africa.xlsx,,,11
Work Package 2 Informed digital agriculture for climate resilience – Managing climate risks and accessing services,OUTCOME,2.1 Climate information and early warning systems ,"Farmers, value chain actors, and governments use improved climate information and early warning systems ",Uptake of information product,Alliance of Bioversity International & the International Center for Tropical Agriculture (CIAT),International Centre of Insect Physiology and Ecology,,,Yes,,,,global,,,Number of value chain actors using  improved climate information and early warning systems ,"Number of beneficiaries using the CGIAR innovation, disaggregated by gender.",Number,,,,global,,,0,29/06/2022,20,31/12/2024,INIT-22 - Transforming AgriFood Systems in West and Central Africa.xlsx,,,11
Work Package 2 Informed digital agriculture for climate resilience – Managing climate risks and accessing services,OUTCOME,2.1 Climate information and early warning systems ,"Farmers, value chain actors, and governments use improved climate information and early warning systems ",Uptake of information product,Alliance of Bioversity International & the International Center for Tropical Agriculture (CIAT),International Centre of Insect Physiology and Ecology,,,Yes,,,,global,,,Number of farmers using improved climate information and early warning systems ,"Number of beneficiaries using the CGIAR innovation, disaggregated by gender.",Number,Survey responses,Survey,Semi-annual,country,,,0,29/06/2022,"120000
 300000","01/01/2024
 01/01/2025",INIT-22 - Transforming AgriFood Systems in West and Central Africa.xlsx,,,23
Work Package 3 Inclusive landscape management: pathways for scaling land and water innovations for resilient agrifood systems,OUTCOME,3.1 Inclusive land and water development plans ,Inclusive land and water development plans developed by rural communities ,Capacity,International Water Management Institute,International Institute of Tropical Agriculture,,,Yes,,,,global,,,Number of inclusive land and water development plans developed by government,"Change in the capacity of key (a) Individuals, (b) Organizations (government, civil society and private sector), and (c) Networks (e.g. multi-stakeholder platforms).",Number,,,,global,,,0,29/06/2022,2,31/12/2024,INIT-22 - Transforming AgriFood Systems in West and Central Africa.xlsx,,,15
Work Package 3 Inclusive landscape management: pathways for scaling land and water innovations for resilient agrifood systems,OUTCOME,3.1 Inclusive land and water development plans ,Inclusive land and water development plans developed by rural communities ,Capacity,International Water Management Institute,International Institute of Tropical Agriculture,,,Yes,,,,global,,,Number of inclusive land and water development plans developed by rural communities ,"Number of beneficiaries using the CGIAR innovation, disaggregated by gender.",Number,Interviewees,Focus group discussion,End of Initiative,country,,,0,29/06/2022,"10
 20","01/01/2024
 01/01/2025",INIT-22 - Transforming AgriFood Systems in West and Central Africa.xlsx,,,15
Work Package 4 Youth and women entrepreneurship models in food value chains,OUTCOME,4.1 Women Empowerment in Agriculture Index,Increase in Women Empowerment in Agriculture Index (WEAI) ,Capacity,Africa Rice Center,International Institute of Tropical Agriculture,,,Yes,,,,global,,,Increase in Women Empowerment in Agriculture Index (WEAI) ,"Change in the capacity of key (a) Individuals, (b) Organizations (government, civil society and private sector), and (c) Networks (e.g. multi-stakeholder platforms).",Percent,Survey responses,Survey,Annual,country,,,0,29/06/2022,"2
 5","01/01/2024
 01/01/2025",INIT-22 - Transforming AgriFood Systems in West and Central Africa.xlsx,,,29
Work Package 4 Youth and women entrepreneurship models in food value chains,OUTCOME,4.2 Youth and women are engaged in value added activities ,Youth and women are engaged in value added activities related to agriculture and have access to credit ,Capacity,International Institute of Tropical Agriculture,Africa Rice Center,,,Yes,,,,global,,, Number of women engaged in value added activities related to agriculture and have access to credit ,"Number of beneficiaries using the CGIAR innovation, disaggregated by gender.",Number,Survey responses,Survey,Annual,global,,,0,29/06/2022,5000,31/12/2024,INIT-22 - Transforming AgriFood Systems in West and Central Africa.xlsx,,,29
Work Package 4 Youth and women entrepreneurship models in food value chains,OUTCOME,4.2 Youth and women are engaged in value added activities ,Youth and women are engaged in value added activities related to agriculture and have access to credit ,Capacity,International Institute of Tropical Agriculture,Africa Rice Center,,,Yes,,,,global,,,Number of youth engaged in value added activities related to agriculture and have access to credit ,"Number of beneficiaries using the CGIAR innovation, disaggregated by gender.",Numbe,Survey responses,Survey,Annual,country,,,0,29/06/2022,"3000
 10000","01/01/2024
 01/01/2025",INIT-22 - Transforming AgriFood Systems in West and Central Africa.xlsx,,,-1
Work Package 5 Catalyzing investment and action for impact at scale,OUTCOME,5.1 Partners using 3 validated scaling tools,At least 10 key partners in the next phase implementation plans consistently using 3 validated scaling tools,Capacity,International Potato Center / Centro Internacional de la Papa,Africa Rice Center,,,Yes,,,,global,,,Number of  partners in the next phase implementation plans consistently using 3 validated scaling tools,"Number of beneficiaries using the CGIAR innovation, disaggregated by gender.",Number,Interviewees,Key informant interviews,Semi-annual,country,,,0,29/06/2022,"4
 10","01/01/2024
 01/01/2025",INIT-22 - Transforming AgriFood Systems in West and Central Africa.xlsx,,,8
"Work Package 1 Status, trends, and future dynamics of MFS",OUTCOME,1.1. Improved understanding of the current performance of Mixed Farming Systems and the drivers of change affecting them,"International research institutions, including CGIAR, national research institutions, policymakers, and donors have a improved understanding of the current performance of Mixed Farming Systems and the drivers of change affecting them",Capacity,,,,,No,,,,global,,,Number of key policymakers with improved understanding ,"Change in the capacity of key (a) Individuals, (b) Organizations (government, civil society and private sector), and (c) Networks (e.g. multi-stakeholder platforms).",Number,Primary,Stakeholder consultation and documentation,Annual,global,,,0,17/05/2022,2,31/12/2024,INIT-19 - Sustainable Intensification of Mixed Farming Systems.xlsx,,,6
"Work Package 1 Status, trends, and future dynamics of MFS",OUTCOME,1.1. Improved understanding of the current performance of Mixed Farming Systems and the drivers of change affecting them,"International research institutions, including CGIAR, national research institutions, policymakers, and donors have a improved understanding of the current performance of Mixed Farming Systems and the drivers of change affecting them",Capacity,,,,,No,,,,global,,,"Number of organizations with improved understanding, disaggregated by international and national research institutions","Change in the capacity of key (a) Individuals, (b) Organizations (government, civil society and private sector), and (c) Networks (e.g. multi-stakeholder platforms).",Number,Primary,Stakeholder consultation and documentation,Annual,global,,,0,17/01/2022,11,31/12/2024,INIT-19 - Sustainable Intensification of Mixed Farming Systems.xlsx,,,24
"Work Package 1 Status, trends, and future dynamics of MFS",OUTCOME,1.1. Improved understanding of the current performance of Mixed Farming Systems and the drivers of change affecting them,"International research institutions, including CGIAR, national research institutions, policymakers, and donors have a improved understanding of the current performance of Mixed Farming Systems and the drivers of change affecting them",Capacity,,,,,No,,,,global,,,Number of major donors with improved understanding,"Change in the capacity of key (a) Individuals, (b) Organizations (government, civil society and private sector), and (c) Networks (e.g. multi-stakeholder platforms).",Number,Primary,Stakeholder consultation and documentation,Annual,global,,,0,17/05/2022,2,31/12/2024,INIT-19 - Sustainable Intensification of Mixed Farming Systems.xlsx,,,25
"Work Package 1 Status, trends, and future dynamics of MFS",OUTCOME,"1.2. Improved understanding of the entry points for the transition of Mixed Farming Systems towards effective, sustainable, and equitable systems affecting them.","International research institutions, including CGIAR, national research institutions, policymakers, and donors have a good understanding of the entry points for the transition of Mixed Farming Systems towards effective, sustainable, and equitable systems affecting them.",Capacity,,,,,Yes,,,,global,,,Number of major donors with good understanding,"Change in the capacity of key (a) Individuals, (b) Organizations (government, civil society and private sector), and (c) Networks (e.g. multi-stakeholder platforms).",Number,Primary,Stakeholder consultation and documentation,Annual,global,,,0,17/05/2022,3,31/12/2024,INIT-19 - Sustainable Intensification of Mixed Farming Systems.xlsx,,,25
"Work Package 1 Status, trends, and future dynamics of MFS",OUTCOME,"1.2. Improved understanding of the entry points for the transition of Mixed Farming Systems towards effective, sustainable, and equitable systems affecting them.","International research institutions, including CGIAR, national research institutions, policymakers, and donors have a good understanding of the entry points for the transition of Mixed Farming Systems towards effective, sustainable, and equitable systems affecting them.",Capacity,,,,,Yes,,,,global,,,Number of key policymakers with good understanding,"Change in the capacity of key (a) Individuals, (b) Organizations (government, civil society and private sector), and (c) Networks (e.g. multi-stakeholder platforms).",Number,Primary,Stakeholder consultation and documentation,Annual,global,,,0,20/01/2022,7,31/12/2024,INIT-19 - Sustainable Intensification of Mixed Farming Systems.xlsx,,,6
"Work Package 1 Status, trends, and future dynamics of MFS",OUTCOME,"1.2. Improved understanding of the entry points for the transition of Mixed Farming Systems towards effective, sustainable, and equitable systems affecting them.","International research institutions, including CGIAR, national research institutions, policymakers, and donors have a good understanding of the entry points for the transition of Mixed Farming Systems towards effective, sustainable, and equitable systems affecting them.",Capacity,,,,,Yes,,,,global,,,"Number of organizations with good understanding, disaggregated by international and national research institutions","Change in the capacity of key (a) Individuals, (b) Organizations (government, civil society and private sector), and (c) Networks (e.g. multi-stakeholder platforms).",Number,Primary,Stakeholder consultation and documentation,Annual,global,,,0,17/05/2022,11,31/12/2024,INIT-19 - Sustainable Intensification of Mixed Farming Systems.xlsx,,,24
Work Package 2 Building methods and tools (M&T) for SI of MFS,OUTCOME,2.1 Actors in R&D jointly use methods and tools (M&T) to describe MFS and their,Actors in Research and Development  jointly use methods and tools (M&T) to describe Mixed Farming Systems and their,Uptake of information product,,,,,No,,,,global,,,Number of actors in R&D using M&T to describe MFS and their diversity ,"Number of beneficiaries using the CGIAR innovation, disaggregated by gender.",Number,Primary,"Survey, FGD	",Annual,global,,,0,17/05/2022,3,31/12/2024,INIT-19 - Sustainable Intensification of Mixed Farming Systems.xlsx,,,21
Work Package 2 Building methods and tools (M&T) for SI of MFS,OUTCOME,"2.2 Actors in R&D jointly use M&T for multi-criteria assessment of MFS and SI options
",Actors in Research and Development jointly use Methods and Tools for multi-criteria assessment of Mixed Farming Systems and Sustainable Intensification options,Uptake of information product,,,,,No,,,,global,,,Number of actors in R&D using M&T for multi-criteria assessment of MFS and SI options	,"Number of beneficiaries using the CGIAR innovation, disaggregated by gender.",Number,Primary,"Survey, FGD	",Annual,global,,,0,17/05/2022,3,31/12/2024,INIT-19 - Sustainable Intensification of Mixed Farming Systems.xlsx,,,21
Work Package 2 Building methods and tools (M&T) for SI of MFS,OUTCOME,"2.3 Actors in R&D jointly use M&T for scenario and trade-off analysis of SI options for MFS
",Actors in Research and Development jointly use methods and tools (M&T) for scenario and trade-off analysis of  Sustainable Intensification options for Mixed Farming Systems,Uptake of information product,,,,,No,,,,global,,,Number of actors in R&D using M&T for scenario and trade-off analysis of SI options for MFS,"Number of beneficiaries using the CGIAR innovation, disaggregated by gender.",Number,P,"Survey, FGD	",Annual,global,,,0,17/05/2022,3,31/12/2024,INIT-19 - Sustainable Intensification of Mixed Farming Systems.xlsx,,,21
Work Package 2 Building methods and tools (M&T) for SI of MFS,OUTCOME,"2.4 Actors in R&D jointly use M&T for the co-design of SI options for MFS
",Actors in Research and Development jointly use methods and tools (M&T) for the co-design of  Sustainable Intensification options for Mixed Farming Systems,Uptake of information product,,,,,No,,,,global,,,Number of actors in R&D using M&T for the co-design of SI options for MFS	,"Number of beneficiaries using the CGIAR innovation, disaggregated by gender.",Number,Primary,"Survey, FGD	",Annual,global,,,0,17/05/2022,3,31/12/2024,INIT-19 - Sustainable Intensification of Mixed Farming Systems.xlsx,,,21
"Work Package 3 Participatory co-design of MFS with evidence-based, validated SI innovation packages",OUTCOME,"3.1 Policymakers and agricultural Research and Development agencies in target countries are developing strategies to prioritize SI of MFS
",Policymakers and agricultural Research and Development agencies in target countries are developing strategies to prioritize Sustainable Intensification of Mixed Farming Systems,Capacity,,,,,No,,,,global,,,Number of agricultural R&D agencies developing strategies,"Number of policies/ strategies/ laws/ regulations/ budgets/ investments/ curricula modified in design or implementation, informed by CGIAR research.",Number,Primary,Stakeholder consultation and documentation	,Annual	,global,,,0,18/05/2022,3,31/12/2024,INIT-19 - Sustainable Intensification of Mixed Farming Systems.xlsx,,,-1
"Work Package 3 Participatory co-design of MFS with evidence-based, validated SI innovation packages",OUTCOME,"3.1 Policymakers and agricultural Research and Development agencies in target countries are developing strategies to prioritize SI of MFS
",Policymakers and agricultural Research and Development agencies in target countries are developing strategies to prioritize Sustainable Intensification of Mixed Farming Systems,Capacity,,,,,No,,,,global,,,Number of policies/strategies developed,"Number of policies/ strategies/ laws/ regulations/ budgets/ investments/ curricula modified in design or implementation, informed by CGIAR research.",Number,Primary,Stakeholder consultation and documentation	,Annual,global,,,0,18/05/2022,3,31/12/2024,INIT-19 - Sustainable Intensification of Mixed Farming Systems.xlsx,,,12
"Work Package 3 Participatory co-design of MFS with evidence-based, validated SI innovation packages",OUTCOME,"3.2 Extension systems in target countries are developing protocols to implement and sequence SI interventions in MFS
",Extension systems in target countries are developing protocols to implement and sequence Sustainable Intensification interventions in f Mixed Farming Systems,Capacity,,,,,No,,,,global,,,Number of extension systems in target countries developing protocols,Other quantitative measure of CGIAR innovation use (e.g. area),Number,Primary,Stakeholder consultation and documentation	,Annual,global,,,0,18/05/2022,5,31/12/2024,INIT-19 - Sustainable Intensification of Mixed Farming Systems.xlsx,,,-1
"Work Package 3 Participatory co-design of MFS with evidence-based, validated SI innovation packages",OUTCOME,"3.3 Patterns of innovation packages and SI pathways for typical MFS are considered for global development agendas and international development donors
", Patterns of innovation packages and Sustainable Intensification pathways for typical Mixed Farming Systems are considered for global development agendas and international development donors ,Innovation,,,,,No,,,,global,,,Number of partners considering innovation packages for global development agendas and international development donors	,"Number of beneficiaries using the CGIAR innovation, disaggregated by gender.",Number,Primary,Stakeholder consultation and documentation	,Annual,global,,,0,18/05/2022,3,31/12/2024,INIT-19 - Sustainable Intensification of Mixed Farming Systems.xlsx,,,-1
Work Package 4 Advancing and supporting scaling of innovations,OUTCOME,4.1  Priority target countries for Sustainable Intensification of Mixed Farming Systems attain an enabling environment that supports the scaling of socio-technical SI innovation packages, Priority target countries for Sustainable Intensification of Mixed Farming Systems attain an enabling environment that supports the scaling of socio-technical SI innovation packages,Other,,,,,Yes,,,,global,,,Number of priority countries that have attained an enabling environment,Other quantitative measure of CGIAR innovation use (e.g. area),Number,Primary,Stakeholder  consultation  and  documentation,Annual,global,,,0,18/05/2022,6,31/12/2024,INIT-19 - Sustainable Intensification of Mixed Farming Systems.xlsx,,,9
Work Package 4 Advancing and supporting scaling of innovations,OUTCOME,4.2 Gender transformative approaches that support scaling are widely taken up by multiple stakeholders in target countries to reach target smallholder farmers,Gender transformative approaches that support scaling are widely taken up by multiple stakeholders in target countries to reach target smallholder farmers,Other,,,,,Yes,,,,global,,,Number of gender transformative approaches taken up by multiple stakeholders,Other quantitative measure of CGIAR innovation use (e.g. area),Number,Primary,Stakeholder consultation and  documentation,Annual,global,,,0,18/05/2022,1,31/12/2024,INIT-19 - Sustainable Intensification of Mixed Farming Systems.xlsx,,,19
Work Package 4 Advancing and supporting scaling of innovations,OUTCOME,"4.3  Strategic partnerships activated that embed, deploy, and implement scaling of socio-technical 
SI innovation packages in the six target countries to reach several smallholder farmers","Strategic partnerships activated that embed, deploy, and implement scaling of socio-technical 
SI innovation packages in the six target countries to reach several smallholder farmers",Other,,,,,Yes,,,,global,,,Number of beneficiaries using the innovation,"Number of beneficiaries using the CGIAR innovation, disaggregated by gender.",Number,Primary,Documentation  of stakeholder  consultation,Annual,global,,,0,18/05/2022,15,31/12/2024,INIT-19 - Sustainable Intensification of Mixed Farming Systems.xlsx,,,25
Work Package 5 Capacity building for MFS design and analyses,OUTCOME,"5.1 Farming systems thinking and gender transformative approaches for addressing contextualized challenges
",Farming systems thinking and gender transformative approaches for addressing contextualized challenges towards Sustainable Intensification of Mixed Farming Systems are mainstreamed in the capacity development strategies of education partners at all levels from farmer extension to academic curricula,Capacity,,,,,No,,,,global,,,Number of education partners mainstreaming farming systems thinking and gender transformative approaches for SI of MFS for targeted local challenges.,"Number of beneficiaries using the CGIAR innovation, disaggregated by gender.",Number,Primary,"Survey, key informant interviews, documentation of interviews	",Annual,global,,,0,17/05/2022,7,31/12/2024,INIT-19 - Sustainable Intensification of Mixed Farming Systems.xlsx,,,29
Work Package 5 Capacity building for MFS design and analyses,OUTCOME,"5.2 Capacity development strategies incorporate farming systems thinking and gender transformative approaches
","Globally, capacity development strategies incorporate farming systems thinking and gender transformative approaches at all levels from farmer extension to academic curricula",Capacity,,,,,No,,,,global,,,Number of education partners mainstreaming farming systems thinking and gender transformative approaches for SI of MFS for targeted global |challenges.,"Number of policies/ strategies/ laws/ regulations/ budgets/ investments/ curricula modified in design or implementation, informed by CGIAR research.",Number,Primary,"Survey, key informant interviews, stakeholder documentation	",Annual,global,,,0,17/05/2022,1,31/12/2024,INIT-19 - Sustainable Intensification of Mixed Farming Systems.xlsx,,,29
